283,313,5141,77Psc,-1.701,0.086
284,315,5121,27Cet,-1.7,-0.174
285,316,5240,316,-1.706,0.994
286,317,5164,28Cet,-1.702,-0.172
287,318,5251,318,-1.707,0.934
288,319,5204,75Psc,-1.704,0.226
289,320,5170,320,-1.702,-0.419
290,321,5336,30MuCas,-1.712,0.959
291,322,5165,BetPhe,-1.702,-0.815
292,324,5317,41And,-1.71,0.767
293,325,5259,325,-1.707,-0.419
294,326,5361,326,-1.713,1.017
295,327,5319,78Psc,-1.711,0.559
296,328,5310,79Psi2Psc,-1.71,0.362
297,329,5296,30Cet,-1.709,-0.171
298,330,5346,80Psc,-1.712,0.099
299,331,5300,UpsPhe,-1.71,-0.724
300,332,5268,IotTuc,-1.707,-1.078
301,333,5626,333,-1.729,1.391
302,334,5364,31EtaCet,-1.713,-0.178
303,335,5434,42PhiAnd,-1.717,0.825
304,336,5518,31Cas,-1.722,1.2
305,337,5447,43BetAnd,-1.718,0.622
306,338,5348,ZetPhe,-1.712,-0.964
307,339,5454,81Psi3Psc,-1.718,0.343
308,340,5493,44And,-1.721,0.734
309,341,5494,341,-1.721,0.444
310,342,5566,342,-1.725,1.121
311,343,5542,33TheCas,-1.724,0.963
312,344,5483,344,-1.72,0.274
313,345,5589,32Cas,-1.727,1.135
314,346,5485,32Cet,-1.72,-0.155
315,347,5510,33Cet,-1.722,0.043
316,348,5550,45And,-1.724,0.658
317,349,5544,82Psc,-1.724,0.548
318,350,5477,350,-1.72,-1.007
319,351,5571,84ChiPsc,-1.725,0.367
320,352,5586,83TauPsc,-1.726,0.525
321,353,5594,34Cet,-1.727,-0.039
322,354,5688,354,-1.733,1.077
323,355,5650,355,-1.73,0.791
324,356,5679,356,-1.732,0.525
325,357,5947,357,-1.748,1.395
326,359,5661,359,-1.731,-0.661
327,360,5742,85PhiPsc,-1.736,0.429
328,361,5737,86ZetPsc,-1.735,0.132
329,363,5772,363,-1.737,0.498
330,364,5778,87Psc,-1.737,0.282
331,366,5799,37Cet,-1.738,-0.138
332,367,5824,88Psc,-1.74,0.122
333,368,5833,38Cet,-1.74,-0.017
334,370,5862,NuPhe,-1.742,-0.795
335,371,5936,371,-1.747,0.578
336,372,5993,372,-1.75,0.784
337,373,5951,39Cet,-1.748,-0.044
338,375,6261,375,-1.764,1.354
339,376,6087,376,-1.755,0.828
340,377,5896,KapTuc,-1.744,-1.202
341,378,6061,89Psc,-1.753,0.063
342,379,6140,379,-1.757,0.653
343,380,5992,380,-1.75,-1.159
344,381,6378,381,-1.771,1.331
345,382,6242,34PhiCas,-1.763,1.016
346,383,6193,90UpsPsc,-1.76,0.476
347,384,6312,35Cas,-1.768,1.129
348,385,6226,42Cet,-1.762,-0.009
349,386,6522,386,-1.779,1.374
350,387,6283,387,-1.765,-0.057
351,388,6272,388,-1.765,-0.196
352,389,6315,91Psc,-1.768,0.502
353,390,6411,46XiAnd,-1.773,0.795
354,391,6486,391,-1.777,1.015
355,392,6432,392,-1.774,0.03
356,393,6429,43Cet,-1.774,-0.008
357,394,6427,394,-1.774,-0.333
358,395,6514,47And,-1.779,0.658
359,396,6512,396,-1.779,0.598
360,397,6492,397,-1.778,0.357
361,398,6685,398,-1.788,1.239
362,399,6692,36PsiCas,-1.789,1.189
363,400,6502,400,-1.778,-0.54
364,401,6539,44Cet,-1.78,-0.14
365,402,6537,45TheCet,-1.78,-0.143
366,403,6686,37DelCas,-1.788,1.051
367,404,6564,404,-1.782,-0.121
368,405,6589,405,-1.783,-0.273
369,406,6605,406,-1.784,-0.05
370,407,6669,407,-1.787,0.41
371,408,6592,408,-1.783,-0.724
372,409,6711,409,-1.79,0.758
373,410,6702,410,-1.79,0.604
374,411,6595,411,-1.783,-0.777
375,412,6670,46Cet,-1.787,-0.255
376,413,6706,93RhoPsc,-1.79,0.335
377,414,6732,94Psc,-1.792,0.336
378,415,6776,415,-1.794,0.6
379,416,6717,416,-1.791,-0.007
380,417,6813,48OmeAnd,-1.796,0.792
381,418,6794,418,-1.795,0.717
382,420,6631,420,-1.785,-1.123
383,421,6748,47Cet,-1.793,-0.228
384,423,6759,423,-1.793,-0.568
385,424,11767,1AlpUMi,-2.076,1.558
386,425,6822,425,-1.797,-0.19
387,426,6868,426,-1.799,0.139
388,427,7078,38Cas,-1.812,1.226
389,428,7050,428,-1.81,1.154
390,429,6867,GamPhe,-1.799,-0.756
391,430,6999,49And,-1.807,0.82
392,432,6981,97Psc,-1.806,0.32
393,433,6960,48Cet,-1.805,-0.378
394,434,7007,98MuPsc,-1.807,0.107
395,435,6952,435,-1.804,-0.816
396,436,7016,436,-1.808,-0.457
397,437,7097,99EtaPsc,-1.813,0.268
398,438,7147,438,-1.816,0.607
399,439,7251,439,-1.821,1.018
400,440,7083,DelPhe,-1.812,-0.856
401,441,7118,441,-1.814,-0.529
402,442,7294,39ChiCas,-1.824,1.034
403,443,7115,443,-1.814,-0.795
404,445,7213,445,-1.819,-0.643
405,446,7321,446,-1.825,0.65
406,447,7189,447,-1.818,-0.868
407,448,7276,448,-1.823,-0.123
408,450,7359,450,-1.827,0.322
409,451,7345,49Cet,-1.827,-0.274
410,452,7444,452,-1.832,0.717
411,453,7361,453,-1.828,-0.557
412,454,7493,454,-1.835,0.85
413,455,7436,101Psc,-1.832,0.256
414,456,7650,40Cas,-1.844,1.275
415,457,7447,457,-1.832,0.304
416,458,7513,50UpsAnd,-1.836,0.723
417,459,7450,50Cet,-1.833,-0.269
418,460,7387,460,-1.829,-1.015
419,461,7617,461,-1.842,1.012
420,462,7463,TauScl,-1.833,-0.522
421,463,7535,102PiPsc,-1.837,0.212
422,464,7607,51And,-1.841,0.849
423,465,7651,465,-1.844,0.792
424,466,7580,466,-1.84,-0.164
425,467,7271,467,-1.822,-1.37
426,468,7506,468,-1.836,-1.017
427,469,7719,52ChiAnd,-1.847,0.775
428,470,7786,470,-1.851,0.94
429,471,7643,471,-1.843,-0.638
430,472,7588,AlpEri,-1.84,-0.999
431,473,7679,473,-1.845,-0.371
432,475,7740,105Psc,-1.849,0.286
433,476,7825,476,-1.853,0.756
434,477,7818,53TauAnd,-1.853,0.708
435,478,7965,43Cas,-1.86,1.188
436,480,8016,42Cas,-1.863,1.233
437,482,7963,482,-1.86,1.023
438,483,7918,483,-1.858,0.744
439,484,7874,484,-1.856,0.449
440,485,7906,485,-1.857,0.524
441,487,0,487,-1.849,-0.981
442,488,8020,488,-1.863,1.072
443,489,7884,106NuPsc,-1.856,0.096
444,490,7943,490,-1.859,0.615
445,491,8046,44Cas,-1.865,1.057
446,492,7916,492,-1.858,-0.198
447,493,7981,107Psc,-1.861,0.354
448,494,7886,494,-1.856,-0.666
449,495,8044,495,-1.864,0.791
450,496,8068,PhiPer,-1.866,0.885
451,497,7955,PiScl,-1.859,-0.564
452,498,7941,498,-1.859,-0.643
453,499,8115,499,-1.869,1.004
454,500,7999,500,-1.862,-0.064
455,502,8148,502,-1.871,0.996
456,503,8086,503,-1.867,0.562
457,504,8127,504,-1.869,0.805
458,505,7921,505,-1.858,-1.061
459,506,7978,506,-1.861,-0.938
460,507,8094,507,-1.867,-0.083
461,508,8159,109Psc,-1.872,0.351
462,509,8102,52TauCet,-1.868,-0.278
463,510,8198,110OmiPsc,-1.874,0.16
464,511,8362,511,-1.884,1.114
465,512,7601,512,-1.841,-1.448
466,513,8230,513,-1.876,-0.1
467,514,8209,EpsScl,-1.875,-0.437
468,516,7879,Tau1Hyi,-1.856,-1.381
469,517,8233,517,-1.876,-0.477
470,518,8370,518,-1.884,0.807
471,519,8240,519,-1.877,-0.887
472,520,8241,520,-1.877,-0.934
473,521,8423,521,-1.888,0.662
474,522,8387,4Ari,-1.886,0.296
475,523,8433,523,-1.888,0.571
476,524,8320,524,-1.882,-0.729
477,525,7568,525,-1.839,-1.48
478,526,8475,526,-1.89,0.836
479,527,8404,527,-1.887,0.064
480,528,8369,528,-1.884,-0.649
481,529,8598,529,-1.898,0.906
482,530,8544,1Ari,-1.894,0.389
483,531,8497,53ChiCet,-1.892,-0.187
484,532,8480,532,-1.891,-0.542
485,533,8704,1Per,-1.902,0.963
486,534,8588,534,-1.897,0.193
487,535,8514,535,-1.893,-0.67
488,536,8714,2Per,-1.903,0.887
489,537,8552,537,-1.895,-0.835
490,538,8771,538,-1.906,0.898
491,539,8645,55ZetCet,-1.9,-0.18
