index,cluster,mmscore
161,"(496, 568, 607)",0.058101851851851856
162,"(7625, 7826, 7859, 7751)",0.06123971193415638
163,"(2240, 2017, 2400, 2503, 2122, 2250, 2192, 2075)",0.06951252723311546
164,"(550, 13, 305, 244, 149)",0.05347222222222222
165,"(7616, 7620, 7718, 7753, 7881, 7789, 8014, 7699, 7444, 7892, 7190, 7863, 7987, 8062)",0.040496540496540494
166,"(544, 203, 268, 443)",0.07658730158730159
167,"(768, 859, 1125, 839, 937, 1132, 845, 782, 1044, 1109, 730, 763, 858, 863)",0.040015540015540016
168,"(6240, 6273, 6124, 6575, 6451)",0.06329516374451015
169,"(4842, 4741)",0.06275720164609054
170,"(8137, 7450, 7379, 7877)",0.03950617283950617
171,"(6096, 6105, 6129)",0.07731481481481482
172,"(1449, 1481, 1428, 1429, 1462, 1436)",0.08541666666666667
173,"(4336, 4454)",0.062242798353909466
174,"(6615, 6853, 6280, 5804, 5204, 6071, 5434, 6653, 5567)",0.062242798353909466
175,"(6019, 5252, 5395, 5523, 5907, 5273, 5404, 5792, 5668, 5924, 5674, 5433, 5948, 5694, 5568, 5084, 5469, 5598, 6006)",0.055985643687256594
176,"(1564, 1572, 1615)",0.06179854096520763
177,"(5252, 5158, 5360, 5017, 5084)",0.046296296296296294
178,"(7616, 7620, 7718, 7753, 7863, 7881, 7789, 7444, 7892, 7190, 7191, 8029, 8062)",0.038359788359788365
179,"(937, 858, 1036)",0.05763036890487871
180,"(7177, 7219, 7308)",0.061213991769547324
181,"(1436, 1428)",0.056867283950617284
182,"(7953, 7867, 7852)",0.07094017094017094
183,"(5641, 5581, 5741, 5648, 6014, 5815, 5534, 5823)",0.04008714596949891
184,"(6901, 6762, 6813, 6770)",0.06018518518518518
185,"(6762, 6770)",0.04861111111111111
186,"(1488, 1511)",0.06342592592592593
187,"(2240, 2017, 2400, 2625, 2691, 2503, 2695, 2122, 2250, 2442, 2299, 2192, 2612, 2517, 1946, 2075, 2556)",0.037037037037037035
188,"(5144, 5645, 5349)",0.06018518518518518
189,"(873, 814, 497, 563, 504, 766)",0.037037037037037035
190,"(1840, 1233, 1355, 1756)",0.06018518518518518
191,"(4993, 5154, 4900, 4709, 4741, 4966, 4851, 5203, 4696, 4921, 5083, 4926)",0.03666960611405056
192,"(6240, 6124, 6198, 6220)",0.07163390047376975
193,"(305, 138, 147, 195)",0.07288359788359788
194,"(1786, 1709)",0.06316137566137565
195,"(2256, 2082, 2372, 2439)",0.036155202821869487
196,"(6240, 6273, 6537, 6220, 6477, 6575, 6385, 6641, 6451)",0.03946316180793305
197,"(7625, 7859, 7751, 7559)",0.043415637860082304
198,"(5601, 5923, 6085, 6150, 5641, 5581, 5741, 5648, 5982, 6014, 5531, 5884, 6077, 5534, 5823)",0.03587962962962963
199,"(5601, 5923, 6085, 6150, 5641, 5581, 5741, 5648, 5982, 6014, 5815, 5531, 5884, 6077, 5534, 5823)",0.03580246913580247
200,"(195, 138, 305, 147, 244, 149, 246)",0.06666666666666667
201,"(835, 68, 742, 712, 169, 744, 491, 365, 462, 302, 656, 594, 735)",0.03571428571428572
202,"(1724, 1449, 1481, 1741, 1428, 1429, 1462, 1436)",0.07731481481481481
203,"(835, 68, 742, 712, 169, 744, 491, 365, 462, 302, 621, 656, 594, 735)",0.03561253561253561
204,"(7010, 7030)",0.05864197530864197
205,"(3936, 3361, 3938, 3523, 3588, 3493, 3846, 3974, 3592, 3401, 3594, 4103, 3661, 3729, 3953, 3637)",0.04202073646518091
206,"(7043, 6438, 7398, 6123, 6860, 6414, 6930, 7156, 5976, 6330)",0.0585016835016835
207,"(7043, 6438, 7398, 6216, 6123, 6860, 6414, 6930, 7156, 5976, 6330)",0.056018518518518516
208,"(397, 463)",0.06468253968253967
209,"(7840, 34, 7523, 7650, 7850, 7852, 13, 7630, 7824, 7953, 7958, 7867, 7517)",0.048504273504273505
210,"(1536, 1699, 1764, 1733, 1638, 1734, 1735, 1642, 1738, 1580, 1780)",0.06997354497354497
211,"(6451, 6517)",0.07202726769720234
212,"(3011, 2723, 2539, 2478, 3257)",0.05709876543209877
213,"(7324, 7350, 7342)",0.04552469135802469
214,"(4753, 4700, 4703)",0.06574074074074074
215,"(1680, 1809, 1859, 1712)",0.05667789001122334
216,"(3872, 3980, 3820, 3923, 3957)",0.05664488017429194
217,"(8024, 8084, 8133, 8223)",0.05648148148148148
218,"(3872, 3923, 3980, 3957)",0.05185185185185185
219,"(2723, 3011, 3257, 2539, 2478, 2905)",0.05185185185185185
220,"(1969, 2003)",0.05632716049382716
221,"(2256, 2657)",0.04708994708994709
222,"(1724, 1699, 1829, 1481, 1738, 1580, 1644, 1870, 1937, 1969, 2003, 1428, 1429, 1780, 1880, 1436)",0.04729344729344729
223,"(5641, 5741, 6077)",0.05731209150326797
224,"(3521, 3074, 3107, 4548, 3143, 3303, 3820, 3693, 3377, 3605, 4022, 4121, 3194, 3068, 3133)",0.032679738562091505
225,"(7840, 8073, 7852, 7953, 7867)",0.06538461538461539
226,"(4769, 4451, 4580, 4998, 4172, 4109, 4626, 4373, 4086, 4247, 4470)",0.032491582491582495
227,"(4769, 4451, 4580, 4998, 4840, 4975, 4626, 4819, 4373, 4470, 4086)",0.032491582491582495
228,"(1347, 1159, 1645, 1744, 1267, 1076, 1301, 1143, 1241, 1303)",0.03819444444444444
229,"(3670, 3639)",0.05641491164366982
230,"(68, 491, 365, 462, 302)",0.0554029304029304
231,"(4842, 4701, 4741)",0.04372427983539095
232,"(3872, 3521, 3074, 3107, 4548, 3303, 3820, 3693, 3377, 3923, 3605, 4022, 4791, 4121, 3194, 3068, 3133)",0.03209876543209877
233,"(7953, 7523, 7630, 7958)",0.052991452991453
234,"(4451, 4580, 4998, 4041, 4626, 4373, 4086, 4470, 3961, 5017)",0.03198653198653199
235,"(6240, 6273, 6180, 6852, 6537, 6889, 6124, 6220, 6477, 6385, 6641, 6451, 6548, 6517, 6198, 6644, 6649)",0.03446502057613169
236,"(1125, 1132, 1044, 1109, 1048)",0.05495892995892996
237,"(6615, 5804, 5204, 5047, 5434, 4795, 5213, 7006, 5567)",0.03425925925925926
238,"(7384, 7303)",0.05452674897119342
239,"(1880, 1969, 2003)",0.04282407407407408
240,"(6641, 6537, 6477, 6575)",0.054133381747760834
241,"(7324, 7342)",0.05401234567901234
242,"(6619, 6604)",0.046296296296296294
243,"(5808, 5853)",0.06111111111111111
244,"(4753, 4700, 4789, 4703)",0.06388888888888888
245,"(5862, 5707, 5899, 5717, 5656)",0.059280593958013314
246,"(1089, 1282, 1347, 1386, 1645, 1744, 1267, 948, 1301, 1143, 1241, 1303)",0.03634259259259259
247,"(6649, 6644, 6638)",0.057262164124909226
